run_name,accuracy,uar,f1,train_loss,dev_loss,accuracy.std,uar.std,f1.std,train_loss.std,dev_loss.std,best_iteration,test_accuracy,test_uar,test_f1,test_loss
DCASE2020Task1A-16k_Cnn10-AS-naturalsources-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5929442372417857,0.5977700559509141,0.5618376027372015,0.0658908565921703,1.8589428454495056,0.0349406739028336,0.0413929569728635,0.0421803473730521,0.0064270216053671,0.3258585808997072,19,0.5905211141060197,0.5904499196165863,0.586306605825276,2.0233813507865506
DCASE2020Task1A-16k_Cnn10-AS-nature-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5825019161497925,0.5873185067099135,0.5348725063554569,0.1200859556165585,1.7868032497160016,0.0164906956657861,0.0564514066847962,0.0463226480544237,0.010780569640133,0.1733297024250342,13,0.5824348607367474,0.5824426699426698,0.5777142984137297,2.1785096050312758
DCASE2020Task1A-16k_Cnn10-AS-nonhuman-P_Adam_0.001_32_epoch_50_None_None_None_#,0.6174555882044808,0.6209560063028191,0.571093075674781,0.3701672942217595,1.119104841410298,0.0277687233956094,0.0376466803245986,0.0218270090983907,0.0108032420618934,0.0651163737645833,4,0.624550763701707,0.6245173203506537,0.6162367842679769,1.3656041997861357
DCASE2020Task1A-16k_Cnn10-AS-speech-P_Adam_0.001_32_epoch_50_None_None_None_#,0.559735047291043,0.5666988181489576,0.5282728200041187,0.077051292212107,2.3005631019220343,0.0339429724128624,0.0244482984400426,0.029217220311346,0.0187496787594062,0.4100198907468903,27,0.5494159928122192,0.5494297327630661,0.543163308960613,2.396443129669056
DCASE2020Task1A-16k_Cnn10-AS-things-P_Adam_0.001_32_epoch_50_None_None_None_#,0.5871558575839665,0.6046960536767031,0.5475976881580158,0.0613033279618379,1.9266912921199093,0.0280089254841646,0.0505599096073782,0.0405196009448208,0.0042113868728334,0.2088353659364456,18,0.6230907457322551,0.6230863439196773,0.6162536647446023,1.6095472873842462
DCASE2020Task1A-16k_Cnn10_Adam_0.001_32_epoch_50_None_None_None_#,0.5411446889570605,0.561264860711618,0.51585817174788,0.1363880216317974,2.193831217211061,0.0104191408620422,0.0311806954440987,0.0187995834541456,0.0047472763606215,0.0626754222926765,41,0.5271787960467206,0.5271369854703188,0.5212331405470706,1.8740920322610344
SpeechCommands-16k_Cnn10-AS-0.01-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9684734328557592,0.96583931815985,0.9653952131764534,0.0158093439955905,0.2129802446857618,0.0025862572082356,0.001815039253404,0.0026691489205166,0.0008276238017759,0.0114963131434679,48,0.9675601999091322,0.9637155831871276,0.9636112299733544,0.178000886938197
SpeechCommands-16k_Cnn10-AS-0.03-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9680058778345524,0.965855190347884,0.9643612325821188,0.0140983663751993,0.2079518194590462,0.0018618521677543,0.0022899777208881,0.0024245799996953,0.0011569636713334,0.0142214235575707,43,0.9683780099954564,0.9640048345787176,0.9649244445905264,0.191457923104733
SpeechCommands-16k_Cnn10-AS-0.1-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9675049260261162,0.9652273830749172,0.9639386102020104,0.0145309877199436,0.2322633093815115,0.0006039188230981,0.0006892552145302,0.0002941106251061,0.0020205714402289,0.0073593274168456,48,0.9682265636831744,0.9640831971792192,0.9644810315875572,0.1762878360165387
SpeechCommands-16k_Cnn10-AS-0.3-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9665364191964732,0.9638471232652354,0.9626474569413448,0.0178545755037255,0.229138266520142,0.0003612414863704,0.0010883747713254,0.0011489393415151,0.0010555296018569,0.0065590340514505,46,0.967681356958958,0.963727601798378,0.9635210134444576,0.1821678914978104
SpeechCommands-16k_Cnn10-AS-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9670373710049092,0.9658615249234784,0.9637151014037753,0.0158444997771114,0.2419865143350434,0.0015650234797929,0.0016505516576466,0.0017500582814563,0.0013360956010655,0.0086094669511717,47,0.9686203240951082,0.9651009214809186,0.9655481573451822,0.1929052484608592
SpeechCommands-16k_Cnn10-AS-animal-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9681728617706976,0.9656498253813068,0.9650073329802864,0.0186274013897141,0.1994396206410351,0.0013076025749224,0.0015748221866654,0.0017789689600972,0.0003092835916205,0.0116966351107567,36,0.9678328032712404,0.9636836828954484,0.9640950248189518,0.1640465336551171
SpeechCommands-16k_Cnn10-AS-humansounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9665030224092442,0.964019742178028,0.9632396688314292,0.0151860709499582,0.2295971068709961,0.0013676381945324,0.0006356445297829,0.0013127613342353,0.0014806046242842,0.0128898337202989,41,0.967741935483871,0.9637664184699236,0.9643478743175792,0.1768621833910815
SpeechCommands-16k_Cnn10-AS-naturalsounds-P_Adam_0.001_32_epoch_50_None_None_None_#,0.967438132451658,0.9641786507052272,0.9637000719385992,0.0154598353533638,0.2124646825937161,0.0006094341779679,0.0005538333903758,0.0013996435444976,0.0003242720164514,0.0028403847358362,49,0.968468877782826,0.9643361719499418,0.9650301217245396,0.167113404129724
SpeechCommands-16k_Cnn10-AS-naturalsources-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9665364191964732,0.9646685102345776,0.962651123129782,0.0138955092139311,0.2378181021834776,0.0011812269434477,0.0004297799369646,0.0014987407216427,0.0009340959070026,0.0077687196473538,49,0.9667121005603514,0.9626886708481748,0.9632803285599691,0.1872750266780522
SpeechCommands-16k_Cnn10-AS-nature-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9687740039408208,0.9665413876528652,0.9652579753193156,0.0144684204588824,0.225135146029907,0.0011171712041998,0.0011046303291119,0.0009951911866462,0.0012901004078307,0.0107135862842499,44,0.9668938361350902,0.9629001371025424,0.9630524522527332,0.1978318807602083
SpeechCommands-16k_Cnn10-AS-nonhuman-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9677387035367198,0.9655872576566776,0.9645832238866556,0.0199657418715514,0.1951806947113284,0.0011156726506022,0.0023014181101057,0.0013045142482502,0.0005331696666928,0.006721855064786,33,0.9677722247463274,0.9636635314031748,0.9639414375352556,0.1772564232817769
SpeechCommands-16k_Cnn10-AS-speech-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9647997862605616,0.962502822895743,0.9612364653632298,0.0165270958937255,0.2376234435630668,0.0025154233119793,0.0029204611933534,0.0032512589373836,0.001296372189911,0.005610356716821,45,0.9645312736634862,0.960036973293145,0.9601648320558316,0.1931955904850172
SpeechCommands-16k_Cnn10-AS-things-P_Adam_0.001_32_epoch_50_None_None_None_#,0.9662358481114116,0.9652662051793104,0.962307221084462,0.0207169712987244,0.2032721664965508,0.0022692619282449,0.0016446219025686,0.0029516642566423,0.0021387194062083,0.021485778283963,33,0.9668332576101772,0.9634813508992934,0.9630549379291752,0.1575969772072775
SpeechCommands-16k_Cnn10_Adam_0.001_32_epoch_50_None_None_None_#,0.9645326119627292,0.9618249452422932,0.9603818383237362,0.0260557546869294,0.1944059864618021,0.0007013325318103,0.0009796992829296,0.0015946431095818,0.0008778014088597,0.0074077828928905,30,0.9667726790852642,0.962200066372106,0.9630143882631628,0.1590761769679401
